round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,0.08934217026532153,0.9752294,1.969173014163971,0.609375,relu,32,0.25,10,50,5,357,sigmoid,binary_crossentropy,RMSprop
1,0.5263571390526406,0.9091743,6.261118158698082,0.265625,elu,10,0.25,1,35,15,427,sigmoid,binary_crossentropy,adam
24,0.1435860143888981,0.9477064,3.414940118789673,0.265625,elu,32,0.0,24,20,35,77,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.34178833146707727,0.93394494,1.9416162371635437,0.265625,elu,32,0.0,5,35,15,287,sigmoid,sparse_categorical_crossentropy,adam
5,0.13977056588089337,0.9504587,0.7259392831474543,0.265625,relu,10,0.5,5,50,15,357,sigmoid,binary_crossentropy,adam
10,0.14219256705442154,0.9559633,1.7289259433746338,0.3125,elu,32,0.25,10,35,5,7,sigmoid,binary_crossentropy,RMSprop
5,0.8132984513536495,0.9495413,0.8604988753795624,0.265625,relu,32,0.5,5,65,35,357,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.3144275961643587,0.9477064,1.3449411392211914,0.265625,relu,32,0.0,1,65,15,287,sigmoid,binary_crossentropy,RMSprop
5,0.8132984321051767,0.9495413,0.8627870678901672,0.265625,relu,32,0.5,5,50,35,357,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.05448573058722163,0.97155964,1.34559571929276,0.71875,relu,10,0.25,10,65,5,357,sigmoid,binary_crossentropy,adam
